Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Squamata,Colubridae,Macroprotodon cucullatus,"(Geoffroy Saint-Hilaire, 1827)",False Smooth Snake,61533,204878846,DD,DD,No,No,https://www.iucnredlist.org/species/61533/204878846
Squamata,Viperidae,Macrovipera lebetinus,"(Linnaeus, 1758)",Levantine Viper,157295,207664712,LC,LC,No,No,https://www.iucnredlist.org/species/157295/207664712
Squamata,Viperidae,Macrovipera schweizeri,"(Werner, 1935)",Cyclades Blunt-nosed Viper,12654,137843008,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/12654/137843008
Squamata,Psammophiidae,Malpolon insignitus,"(Geoffroy Saint-Hilaire, 1827)",Eastern Montpellier Snake,157253,207992632,LC,LC,No,No,https://www.iucnredlist.org/species/157253/207992632
Squamata,Psammophiidae,Malpolon monspessulanus,"(Hermann, 1804)",Western Montpellier Snake,157262,207993538,LC,LC,No,No,https://www.iucnredlist.org/species/157262/207993538
Testudines,Geoemydidae,Mauremys caspica,"(Gmelin, 1774)",Caspian Turtle,163446,207995336,NA,Not recorded,No,No,https://www.iucnredlist.org/species/163446/207995336
Testudines,Geoemydidae,Mauremys leprosa,"(Schweigger, 1812)",Mediterranean Pond Turtle,158468,207995085,NT,NT,No,No,https://www.iucnredlist.org/species/158468/207995085
Testudines,Geoemydidae,Mauremys reevesii,"(Gray, 1831)",Reeves' Turtle,170502,212955598,NA,Not recorded,No,No,https://www.iucnredlist.org/species/170502/212955598
Testudines,Geoemydidae,Mauremys rivulata,"(Valenciennes in Bory de Saint-Vincent, 1833)",Western Caspian Turtle,158470,207668374,LC,LC,No,No,https://www.iucnredlist.org/species/158470/207668374
Testudines,Geoemydidae,Mauremys sinensis,"(Gray, 1834)",Chinese Stripe-necked Turtle,15026,212956010,NA,Not recorded,No,No,https://www.iucnredlist.org/species/15026/212956010
Squamata,Gekkonidae,Mediodactylus bartoni,"(Stepánek, 1934)",Barton’s Thin-toed Gecko,204783735,204783942,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204783735/204783942
Squamata,Gekkonidae,Mediodactylus danilewskii,"(Strauch, 1887)",Crimean Gecko,204784407,207996302,LC,LC,No,No,https://www.iucnredlist.org/species/204784407/207996302
